User ID,Product ID,Product Name,Brand,Category,Price,Rating,Color,Size
19,1,Dress,Adidas,Men's Fashion,40,1.0431592108361825,Black,XL
97,2,Shoes,H&M,Women's Fashion,82,4.026416271141911,Black,L
25,3,Dress,Adidas,Women's Fashion,44,3.337937559377053,Yellow,XL
25,3,Dress,Adidas,Women's Fashion,44,3.337937559377053,Black,XL
25,3,Dress,Adidas,Women's Fashion,44,3.337937559377053,White,XL
57,4,Shoes,Zara,Men's Fashion,23,1.0495229563128543,White,S
79,5,T-shirt,Adidas,Men's Fashion,79,4.302773408398684,Black,M
98,6,Dress,Adidas,Men's Fashion,47,1.3795657395330458,Yellow,L
16,7,Jeans,Gucci,Men's Fashion,37,1.3567503746842564,White,XL
63,8,Sweater,Zara,Kids' Fashion,64,4.36030328941572,Blue,XL
96,9,Sweater,H&M,Men's Fashion,53,4.466181876278437,Green,XL
36,10,T-shirt,Zara,Kids' Fashion,55,4.093234402033421,White,XL
69,11,T-shirt,Adidas,Men's Fashion,51,1.1609879573062742,Red,S
87,12,Sweater,Gucci,Kids' Fashion,91,2.699735537578599,Yellow,M
9,13,Jeans,Nike,Kids' Fashion,35,1.6011935800534172,Red,M
50,14,Dress,Zara,Women's Fashion,34,2.921004203947349,White,L
31,15,Shoes,Zara,Men's Fashion,54,3.670412239336502,Yellow,M
37,16,Dress,Adidas,Women's Fashion,27,1.4227161428043575,Blue,S
41,17,Dress,Gucci,Women's Fashion,75,1.4806321322978917,Blue,XL
15,18,Jeans,Gucci,Women's Fashion,73,4.498244680519686,Red,XL
84,19,Shoes,Gucci,Women's Fashion,54,3.278340556246379,White,M
56,20,Dress,Gucci,Men's Fashion,53,3.7852452454057937,Green,L
87,21,Jeans,H&M,Men's Fashion,56,2.6095873530986724,Yellow,S
56,22,Jeans,Gucci,Women's Fashion,89,4.568632342868542,Green,L
60,23,Jeans,Zara,Kids' Fashion,91,4.072724797078319,Yellow,M
64,24,Jeans,Zara,Women's Fashion,15,2.4997562739320434,Yellow,XL
65,25,Sweater,H&M,Kids' Fashion,38,1.020492671359242,Green,S
26,26,Dress,Gucci,Women's Fashion,21,4.748169005039641,Green,S
82,27,T-shirt,Adidas,Kids' Fashion,72,3.3017434083754096,Red,L
87,28,Shoes,Zara,Women's Fashion,32,2.822802859802248,Yellow,L
98,29,Shoes,Gucci,Women's Fashion,85,4.9409852209868586,Yellow,M
20,30,Sweater,Nike,Kids' Fashion,99,3.110113572581459,Green,XL
36,31,Jeans,H&M,Kids' Fashion,37,2.755187148705766,Blue,S
98,32,T-shirt,Nike,Kids' Fashion,78,3.4472894702794954,White,XL
69,33,Jeans,H&M,Kids' Fashion,89,4.799409018709708,Green,XL
31,34,Jeans,H&M,Men's Fashion,80,3.9232611597712266,Black,S
48,35,Jeans,Zara,Women's Fashion,37,4.173991567921782,Blue,L
18,36,Dress,H&M,Kids' Fashion,74,1.0149961280920143,Green,S
27,37,Sweater,Zara,Kids' Fashion,48,4.94766478278459,Blue,S
60,38,T-shirt,Nike,Kids' Fashion,76,2.663067923739062,Yellow,S
46,39,Jeans,Adidas,Men's Fashion,90,1.788771519300072,Yellow,M
84,40,Dress,Zara,Women's Fashion,46,2.4356113364040395,Black,XL
43,41,Jeans,Gucci,Women's Fashion,40,2.922173645847821,Blue,L
43,42,Shoes,Zara,Kids' Fashion,43,1.6719588858059065,Red,S
91,43,T-shirt,Adidas,Men's Fashion,39,3.601868546646005,White,M
78,44,Jeans,Nike,Kids' Fashion,74,2.039156739091348,White,M
60,45,Jeans,Gucci,Women's Fashion,85,4.886711103488975,Red,L
44,46,Dress,Zara,Men's Fashion,38,2.82786983124548,Black,XL
44,46,Dress,Zara,Men's Fashion,838,2.82786983124548,Black,XL
44,46,Dress,Zara,Men's Fashion,388,2.82786983124548,Black,XL
93,47,Jeans,Zara,Men's Fashion,62,1.2807316864746534,Green,S
74,48,T-shirt,Gucci,Kids' Fashion,10,1.8369639658885681,Green,M
19,49,Sweater,Gucci,Kids' Fashion,52,3.0122407856530597,Green,XL
